"AGENCY_ID","scaled_log_n_train_rows","scaled_n_train_years_active","scaled_mean_log_wp_train","scaled_mean_log_prev_wp_train","scaled_mean_log_prev_poly_train","scaled_sd_log_wp_train","scaled_iqr_log_wp_train","scaled_sd_log_prev_poly_train","scaled_mean_active_producers_train_clean","scaled_n_products_train","scaled_n_states_train","scaled_product_hhi","scaled_state_hhi","scaled_pl_share_train","scaled_slope_mean_log_wp_by_year"
8207,1.285511,0.653219,0.364491,-0.214102,-0.855672,1.079927,1.360247,-0.249393,2.008448,0.720581,3.304329,-0.411658,-2.606577,-0.636811,0.012256
8208,0.585312,0.653219,0.793592,0.11078,-0.853014,0.467799,0.347885,-0.606338,7.952031,0.414065,-0.642924,-0.443058,0.628811,-0.177621,-0.222518
8221,-1.367268,-1.308786,-0.894178,0.780568,1.184887,0.639177,0.358968,0.364756,-0.684738,-1.271771,-0.642924,0.431902,0.628811,0.720136,-5.746943
8222,-0.512273,0.653219,-0.083515,-0.553631,-0.112062,-0.503007,-0.794432,-0.693807,-0.870475,-1.271771,-0.642924,0.282984,0.628811,1.114089,-0.380356
8233,0.305906,0.653219,-0.909353,-1.082487,-0.604537,-0.471286,0.115275,0.072052,0.476118,0.107549,-0.642924,-0.3625,0.628811,-0.349924,0.276079
8235,0.762664,0.653219,-0.000615,-0.529949,-0.367678,0.380572,0.362724,-0.20757,-0.59187,0.873839,1.330703,-0.463839,-0.22061,0.527741,-0.302381
8242,0.703088,0.653219,0.885857,0.157922,-0.780728,0.306143,0.596958,-0.607011,0.011775,0.720581,-0.642924,-0.478846,0.628811,-0.166257,-0.051291
8244,0.769027,0.653219,0.707509,0.047881,-0.213553,0.272247,-0.59988,0.251153,-0.684738,1.333612,-0.642924,-0.503682,0.628811,0.183755,-0.069723
8246,0.544797,0.653219,0.191351,-0.298729,-0.842954,-0.071953,0.200086,-0.424229,-0.359699,0.567323,-0.642924,-0.439451,0.628811,-0.497535,-0.486612
8260,0.561241,0.653219,-0.579476,-0.923532,-0.366707,0.549442,-0.614571,-0.071972,0.058209,0.567323,-0.642924,-0.446834,0.628811,0.392493,-0.059254
8269,-2.703744,-2.289789,-0.725436,2.456199,2.995574,-3.191196,-2.468346,-2.177866,-0.290047,-1.884803,-0.642924,3.782548,0.628811,-1.643578,0.094867
8277,1.095092,0.653219,0.147627,-0.363445,-0.270344,0.709234,0.694406,0.172137,-0.359699,1.333612,0.34389,-0.496374,-1.350598,0.340472,0.580632
8288,0.260393,0.653219,-0.704322,-1.196673,-0.408758,0.085535,0.152962,-0.675192,-0.684738,-0.352224,-0.642924,-0.299565,0.628811,0.838322,-0.009146
8303,-0.258684,0.653219,0.149322,-2.320623,-0.807706,0.395994,0.555406,-0.387529,-0.034659,-0.198966,-0.642924,-0.268332,0.628811,-0.30201,-0.428081
8308,-1.288123,-1.799288,-2.207399,-1.75336,-0.710465,1.091339,0.25787,-0.3897,0.104644,-1.118514,-0.642924,0.073383,0.628811,-0.225349,0.094867
8311,0.646286,0.653219,0.093508,-0.434309,-0.651652,-0.062175,0.496944,-0.377601,-0.452567,0.720581,-0.642924,-0.479028,0.628811,-0.029077,-0.30819
8317,0.646286,0.653219,1.063961,0.251988,-0.738958,0.875685,1.186846,-0.479587,-0.499001,0.873839,-0.642924,-0.476865,0.628811,-0.124047,0.497997
8336,-2.703744,-2.289789,-2.616431,2.456199,2.995574,-3.191196,-2.468346,-2.177866,-0.731173,-1.884803,-0.642924,3.782548,0.628811,-1.643578,0.094867
8345,0.147836,-0.327783,-0.279365,-0.757225,-0.514445,0.684338,0.458747,0.023096,-0.081093,0.414065,-0.642924,-0.430838,0.628811,-0.074227,-1.539789
8355,-0.542473,0.653219,1.330578,1.054771,0.99818,1.19059,1.964548,-0.151694,0.151078,-1.118514,-0.642924,0.303031,0.628811,1.901993,-0.363391
8357,-0.791679,-1.799288,1.147857,1.410535,1.134303,-1.148325,-0.606425,1.969993,-0.127528,-0.352224,-0.642924,-0.30227,0.628811,-1.27036,0.094867
8365,1.278677,0.653219,0.903647,0.216863,-0.516425,1.359569,1.799997,0.280296,2.565659,1.180354,3.304329,-0.468632,-2.288593,-0.27537,0.37468
8377,-0.512273,0.653219,-0.984128,-0.777799,0.426421,-0.119333,0.011314,0.896054,0.011775,-0.65874,-0.642924,-0.08931,0.628811,0.457501,0.176552
8378,0.528021,0.653219,1.497372,0.704453,-1.010997,0.442731,0.688071,-0.704079,-0.824041,0.260807,0.34389,-0.407665,0.334404,-0.766323,0.007183
8392,-0.118283,-0.818285,-0.256749,0.063089,0.360182,0.08432,0.463749,1.51144,0.383249,0.260807,-0.642924,-0.390356,0.628811,-0.273698,2.667172
8396,0.248614,-0.327783,-0.188522,0.102422,-0.050883,-0.116748,0.269585,1.390571,-0.359699,-0.045709,0.34389,-0.325636,-1.504548,-0.821416,1.993102
8397,0.675173,0.653219,-0.107449,-0.457685,-0.408693,-0.128001,-0.205036,0.224294,-0.081093,0.873839,0.34389,-0.486015,0.46237,-0.054184,-0.434268
8426,0.106651,-0.327783,0.922901,0.708225,-0.281708,-0.236489,-0.139858,1.433938,-0.173962,-0.505482,0.34389,-0.208347,-1.254601,-1.643578,0.497482
8435,0.762664,0.653219,0.051927,-0.53094,-0.33153,-0.122421,-0.899607,-0.078582,-0.731173,1.027096,0.34389,-0.473624,0.124707,0.362831,0.066462
8441,-0.258684,-0.327783,-0.52935,-0.94987,-0.848969,-0.491039,0.489038,-0.315108,-0.824041,-0.505482,-0.642924,-0.255115,0.628811,-0.685315,0.423075
8444,-0.326975,-0.327783,-1.036547,-0.564152,0.186391,-0.474065,0.663149,1.024155,-0.824041,-0.811998,-0.642924,-0.122578,0.628811,0.129208,-0.066581
8449,0.260393,0.653219,1.508789,0.569103,-1.298645,-0.114025,0.040069,-0.805748,-0.638304,-0.505482,-0.642924,-0.288487,0.628811,-1.643578,-0.225056
8450,0.001777,-0.327783,-0.321606,-0.208579,-0.306686,-0.926286,-0.207667,1.136933,-0.406133,-0.352224,-0.642924,-0.318226,0.628811,-0.878847,0.364971
8453,0.294759,0.653219,-0.857534,-0.956731,-0.587338,0.985529,0.118023,-0.149224,-0.26683,0.414065,-0.642924,-0.407237,0.628811,-0.089355,-2.007207
8458,-0.976977,0.162718,-1.355305,-1.637753,-0.243971,-1.30894,-0.727249,-1.94056,-0.290047,-1.578287,-0.642924,0.807174,0.628811,1.901993,-0.941
8464,0.294759,0.653219,-0.752042,-1.150353,-0.789462,0.179387,-0.225431,-0.454628,-0.359699,-0.045709,-0.642924,-0.368191,0.628811,-0.380772,-1.192899
8466,-0.064691,0.653219,-0.763155,-1.228638,-0.381605,0.290253,1.81082,-0.318378,-0.173962,-0.811998,0.34389,-0.116275,-1.736877,0.468677,0.481169
8474,1.144931,0.653219,0.156978,-0.357959,-0.528221,0.182442,-0.157518,0.304133,0.94046,0.873839,2.317516,-0.469691,-2.022273,-0.329122,0.033102
8491,0.660855,0.653219,1.455182,0.743898,-0.0567,0.553491,-0.009404,0.381508,1.59054,1.180354,0.34389,-0.485349,0.139024,0.346918,-0.641858
8532,0.134334,0.162718,0.739793,0.139466,-1.146686,-0.631197,0.004231,-1.106341,-0.59187,-0.505482,-0.642924,-0.288487,0.628811,-0.934464,-1.253571
8543,1.156937,0.653219,0.2014,-0.292863,-0.182218,0.937302,0.026702,0.252013,1.59054,1.333612,1.330703,-0.468778,-2.031267,0.214438,-0.192922
8548,0.078014,-0.818285,-1.006875,-1.160221,-0.496964,0.165265,-0.62587,-0.305936,-0.545436,0.260807,-0.642924,-0.435035,0.628811,0.319149,-0.938979
8552,-0.030792,0.653219,-1.859781,-1.511606,0.421547,-0.279701,-0.052741,1.439161,-0.290047,-0.198966,0.34389,-0.27172,-0.844017,-0.413482,-0.072103
8558,0.689248,0.653219,1.22324,0.337568,-0.761046,0.889857,0.775723,-0.346306,0.104644,0.720581,1.330703,-0.441952,-0.139444,-0.231359,0.607018
8560,-0.303582,0.653219,0.849004,0.433646,0.761507,0.94214,1.730732,0.250334,-0.684738,-1.118514,-0.642924,0.075229,0.628811,1.598087,0.096505
8581,0.316905,-0.327783,0.666303,0.125375,-0.508577,0.054196,0.021412,0.030386,-0.545436,0.414065,-0.642924,-0.450524,0.628811,-0.178075,-0.906188
8582,-0.834273,0.653219,-1.299827,-1.475471,-0.561139,-1.687262,-2.2158,0.364305,-0.731173,-1.425029,-0.642924,0.655278,0.628811,-0.067768,0.92999
8584,0.660855,0.653219,0.275429,-0.268694,-0.144235,0.578859,0.239593,0.213018,-0.545436,1.333612,-0.642924,-0.486045,0.628811,0.471324,-0.029252
8585,-1.663451,-0.818285,-1.956218,-0.297602,0.637611,0.408837,-0.648262,1.213268,-0.824041,-1.731545,-0.642924,1.77216,0.628811,1.901993,1.191121
8586,0.212241,-0.327783,0.09098,-0.006365,-0.420282,0.499499,0.83403,1.275143,0.104644,-0.505482,0.34389,-0.204998,-1.644267,-1.643578,0.343484
8610,-2.128155,-2.289789,0.22467,0.84695,0.206574,-0.594427,-1.09394,0.438803,-0.127528,-1.578287,-0.642924,0.766966,0.628811,0.720136,0.094867
