"AGENCY_ID","log_n_train_rows","n_train_years_active","n_train_rows","has_trend_support","n_years_for_trend","mean_log_wp_train","median_log_wp_train","mean_log_prev_wp_train","median_log_prev_wp_train","mean_log_prev_poly_train","median_log_prev_poly_train","sd_log_wp_train","iqr_log_wp_train","sd_log_prev_poly_train","mean_active_producers_train","agency_appointment_year","mean_max_age_train","mean_min_age_train","n_products_train","n_states_train","n_vendors_train","top_product_share","product_hhi","top_state_share","state_hhi","top_vendor_share","vendor_hhi","pl_share_train","cl_share_train","slope_mean_log_wp_by_year"
102,4.36944785246702,4,78,TRUE,4,7.22296142177043,7.03231966694537,8.79370321436018,8.91229740493757,5.47142142072747,3.06778244554087,2.24541092954918,2.19355037209584,5.17460575692738,13,2009,66,36,18,3,1,0.115384615384615,0.074293228139382,0.653846153846154,0.491452991452991,1,1,0.435897435897436,0.564102564102564,0.492967340922519
111,0.693147180559945,1,1,FALSE,1,7.2283884515736,7.2283884515736,6.50279004591562,6.50279004591562,0,0,NA,0,NA,8,1976,93,49,1,1,1,1,1,1,1,1,1,0,1,NA
148,4.46590811865458,7,86,TRUE,7,8.20653477526825,8.38452233404757,8.21724781528501,8.54622474243709,1.03821224565485,0,1.53348158160329,2.62094204762694,2.0624238086652,43,1992,67,28,16,1,1,0.0813953488372093,0.0754461871281774,1,1,1,1,0.267441860465116,0.732558139534884,0.0202091919923652
152,4.84418708645859,7,126,TRUE,7,7.92036331568167,7.80486067678433,8.02260274901266,7.8543703686782,2.64361292122317,0,2.05828332443738,2.47165036967567,3.13844617950523,19,1964,82,40,21,1,1,0.0555555555555556,0.0534139581758629,1,1,1,1,0.5,0.5,-0.0767624860520432
153,2.19722457733622,2,8,FALSE,2,8.26239135934445,8.19078066441596,8.61004042357022,8.27604163848902,5.02320682683404,4.90937316204052,2.77473915524521,4.24191499024317,2.09766799460188,5,2002,49,47,6,1,1,0.25,0.1875,1,1,1,1,1,0,NA
156,5.28320372873799,7,196,TRUE,7,8.57028741469833,8.28017123475005,8.6133669254508,8.71881720511626,1.8702343034277,0,2.26557284984965,4.04843740101489,2.90039217696077,30,2000,75,46,22,4,1,0.0918367346938776,0.0582049146189088,0.647959183673469,0.478082049146189,1,1,0.372448979591837,0.627551020408163,-0.0234146704147696
160,0.693147180559945,1,1,FALSE,1,7.80501404652311,7.80501404652311,9.20265289892803,9.20265289892803,4.24849524204936,4.24849524204936,NA,0,NA,15,1998,69,43,1,1,1,1,1,1,1,1,1,1,0,NA
163,2.77258872223978,1,15,FALSE,1,7.12524593680176,7.22329567956231,11.5129254649702,11.5129254649702,11.5129254649702,11.5129254649702,2.0883953546235,2.98305756720807,0,14,2012,75,39,10,3,1,0.2,0.128888888888889,0.666666666666667,0.502222222222222,1,1,0.666666666666667,0.333333333333333,NA
164,1.6094379124341,1,4,FALSE,1,6.61487315479222,7.41124511666161,11.5129254649702,11.5129254649702,11.5129254649702,11.5129254649702,1.86579879486465,1.27710476071271,0,18,2006,66,22,4,1,1,0.25,0.25,1,1,1,1,1,0,NA
166,4.58496747867057,7,97,TRUE,7,9.17081654311085,9.681343501555,9.29264786813291,9.77299154845513,1.10185701796584,0,1.80985184458448,2.94751306747216,1.9961208389569,40,1996,67,28,16,2,1,0.0824742268041237,0.0702518864916569,0.989690721649485,0.979594005739186,1,1,0.268041237113402,0.731958762886598,0.058423300474887
173,4.74493212836325,7,114,TRUE,7,8.27404389256257,8.01295440458086,8.37961932932925,8.02425488161099,2.47772047614843,0,2.22150956710536,3.19197574225678,3.09837582699889,10,1982,93,28,18,1,1,0.0614035087719298,0.059248999692213,1,1,1,1,0.464912280701754,0.535087719298246,-0.0679901299369587
184,5.01727983681492,7,150,TRUE,7,7.73955905833053,7.79975331828725,7.96456813501895,7.97016429137867,3.22557975126651,2.56494935746154,2.30237259911362,2.73076357931045,3.17770367685533,11,1978,82,38,20,2,1,0.0933333333333333,0.0641777777777778,0.766666666666667,0.642222222222222,1,1,0.64,0.36,0.012508587985492
188,4.65396035015752,7,104,TRUE,7,7.45561745501874,7.10906213568717,7.67692493765378,7.11010356874833,2.9012991778412,2.75469416831399,2.34269604345412,2.17671188718782,3.01383077104919,12,1963,80,47,18,1,1,0.0673076923076923,0.0606508875739645,1,1,1,1,0.605769230769231,0.394230769230769,-0.161216057281747
